negeitte 74-98,Date,Débit
21915,1/1/1975,5.52
21915,1/2/1975,5.35
21915,1/3/1975,4.87
21915,1/4/1975,5.13
21915,1/5/1975,5.13
21915,1/6/1975,4.47
21915,1/7/1975,4.42
21915,1/8/1975,4.81
21915,1/9/1975,4.42
21915,1/10/1975,4.53
21915,1/11/1975,4.81
21915,1/12/1975,6.14
21915,1/13/1975,6.23
21915,1/14/1975,5.78
21915,1/15/1975,5.04
21915,1/16/1975,4.33
21915,1/17/1975,4.47
21915,1/18/1975,4.13
21915,1/19/1975,4.02
21915,1/20/1975,3.94
21915,1/21/1975,3.82
21915,1/22/1975,3.71
21915,1/23/1975,3.62
21915,1/24/1975,3.51
21915,1/25/1975,3.4
21915,1/26/1975,3.31
21915,1/27/1975,3.2
21915,1/28/1975,3.09
21915,1/29/1975,3.03
21915,1/30/1975,2.92
21915,1/31/1975,2.8
21915,2/1/1975,2.72
21915,2/2/1975,2.62
21915,2/3/1975,2.53
21915,2/4/1975,2.45
21915,2/5/1975,2.39
21915,2/6/1975,2.35
21915,2/7/1975,2.32
21915,2/8/1975,2.27
21915,2/9/1975,2.18
21915,2/10/1975,2.1
21915,2/11/1975,1.93
21915,2/12/1975,1.81
21915,2/13/1975,1.73
21915,2/14/1975,1.66
21915,2/15/1975,1.6
21915,2/16/1975,1.56
21915,2/17/1975,1.53
21915,2/18/1975,1.49
21915,2/19/1975,1.44
21915,2/20/1975,1.43
21915,2/21/1975,1.4
21915,2/22/1975,1.36
21915,2/23/1975,1.34
21915,2/24/1975,1.32
21915,2/25/1975,1.29
21915,2/26/1975,1.27
21915,2/27/1975,1.25
21915,2/28/1975,1.23
21915,3/1/1975,1.2
21915,3/2/1975,1.19
21915,3/3/1975,1.16
21915,3/4/1975,1.15
21915,3/5/1975,1.13
21915,3/6/1975,1.12
21915,3/7/1975,1.1
21915,3/8/1975,1.09
21915,3/9/1975,1.08
21915,3/10/1975,1.08
21915,3/11/1975,1.06
21915,3/12/1975,1.05
21915,3/13/1975,1.05
21915,3/14/1975,1.04
21915,3/15/1975,1.03
21915,3/16/1975,1.02
21915,3/17/1975,1.02
21915,3/18/1975,1.03
21915,3/19/1975,1.19
21915,3/20/1975,1.98
21915,3/21/1975,4.25
21915,3/22/1975,9.91
21915,3/23/1975,11.3
21915,3/24/1975,13
21915,3/25/1975,11.3
21915,3/26/1975,9.91
21915,3/27/1975,9.2
21915,3/28/1975,8.5
21915,3/29/1975,8.21
21915,3/30/1975,7.65
21915,3/31/1975,7.08
21915,4/1/1975,6.37
21915,4/2/1975,5.89
21915,4/3/1975,5.44
21915,4/4/1975,5.1
21915,4/5/1975,4.87
21915,4/6/1975,4.87
21915,4/7/1975,5.04
21915,4/8/1975,5.04
21915,4/9/1975,4.93
21915,4/10/1975,4.81
21915,4/11/1975,4.81
21915,4/12/1975,4.87
21915,4/13/1975,4.93
21915,4/14/1975,5.15
21915,4/15/1975,5.15
21915,4/16/1975,6.14
21915,4/17/1975,8.33
21915,4/18/1975,12.5
21915,4/19/1975,22.8
21915,4/20/1975,47.6
21915,4/21/1975,44.7
21915,4/22/1975,36.5
21915,4/23/1975,25.5
21915,4/24/1975,24.5
21915,4/25/1975,26.5
21915,4/26/1975,26.2
21915,4/27/1975,23
21915,4/28/1975,21.3
21915,4/29/1975,20.2
21915,4/30/1975,23.1
21915,5/1/1975,28.3
21915,5/2/1975,34.5
21915,5/3/1975,39.1
21915,5/4/1975,43.6
21915,5/5/1975,55.5
21915,5/6/1975,68.8
21915,5/7/1975,77
21915,5/8/1975,76.5
21915,5/9/1975,72.8
21915,5/10/1975,69.1
21915,5/11/1975,70.2
21915,5/12/1975,76.5
21915,5/13/1975,77.3
21915,5/14/1975,73.6
21915,5/15/1975,68.5
21915,5/16/1975,68
21915,5/17/1975,66.3
21915,5/18/1975,58.9
21915,5/19/1975,50.7
21915,5/20/1975,44.5
21915,5/21/1975,34
21915,5/22/1975,30.9
21915,5/23/1975,27.8
21915,5/24/1975,22.7
21915,5/25/1975,19.1
21915,5/26/1975,15.9
21915,5/27/1975,15
21915,5/28/1975,14.4
21915,5/29/1975,14.4
21915,5/30/1975,12.9
21915,5/31/1975,11.5
21915,6/1/1975,10.8
21915,6/2/1975,12.7
21915,6/3/1975,11.6
21915,6/4/1975,10.6
21915,6/5/1975,9.83
21915,6/6/1975,9.15
21915,6/7/1975,8.75
21915,6/8/1975,8.35
21915,6/9/1975,7.73
21915,6/10/1975,7.11
21915,6/11/1975,6.46
21915,6/12/1975,6.29
21915,6/13/1975,6.4
21915,6/14/1975,6.68
21915,6/15/1975,6.29
21915,6/16/1975,5.86
21915,6/17/1975,5.66
21915,6/18/1975,5.38
21915,6/19/1975,5.1
21915,6/20/1975,5.01
21915,6/21/1975,4.64
21915,6/22/1975,4.45
21915,6/23/1975,4.33
21915,6/24/1975,4.59
21915,6/25/1975,4.28
21915,6/26/1975,3.85
21915,6/27/1975,3.6
21915,6/28/1975,3.28
21915,6/29/1975,3
21915,6/30/1975,2.76
21915,7/1/1975,2.63
21915,7/2/1975,2.56
21915,7/3/1975,2.49
21915,7/4/1975,2.32
21915,7/5/1975,2.27
21915,7/6/1975,2.15
21915,7/7/1975,2.05
21915,7/8/1975,2.02
21915,7/9/1975,2.13
21915,7/10/1975,2.46
21915,7/11/1975,2.4
21915,7/12/1975,2.86
21915,7/13/1975,2.27
21915,7/14/1975,2.07
21915,7/15/1975,1.94
21915,7/16/1975,1.76
21915,7/17/1975,1.51
21915,7/18/1975,1.79
21915,7/19/1975,1.61
21915,7/20/1975,1.56
21915,7/21/1975,1.67
21915,7/22/1975,1.98
21915,7/23/1975,1.75
21915,7/24/1975,1.48
21915,7/25/1975,1.5
21915,7/26/1975,1.43
21915,7/27/1975,1.31
21915,7/28/1975,1.18
21915,7/29/1975,1.12
21915,7/30/1975,1.08
21915,7/31/1975,1.01
21915,8/1/1975,0.95
21915,8/2/1975,0.92
21915,8/3/1975,0.87
21915,8/4/1975,0.83
21915,8/5/1975,0.93
21915,8/6/1975,0.86
21915,8/7/1975,0.73
21915,8/8/1975,0.7
21915,8/9/1975,0.67
21915,8/10/1975,0.64
21915,8/11/1975,0.59
21915,8/12/1975,0.58
21915,8/13/1975,0.57
21915,8/14/1975,0.69
21915,8/15/1975,0.84
21915,8/16/1975,0.68
21915,8/17/1975,0.57
21915,8/18/1975,0.57
21915,8/19/1975,0.66
21915,8/20/1975,0.66
21915,8/21/1975,0.57
21915,8/22/1975,0.56
21915,8/23/1975,0.52
21915,8/24/1975,0.48
21915,8/25/1975,0.47
21915,8/26/1975,0.47
21915,8/27/1975,0.72
21915,8/28/1975,1.01
21915,8/29/1975,0.73
21915,8/30/1975,0.59
21915,8/31/1975,0.55
21915,9/1/1975,0.52
21915,9/2/1975,0.51
21915,9/3/1975,0.64
21915,9/4/1975,0.78
21915,9/5/1975,0.67
21915,9/6/1975,0.57
21915,9/7/1975,0.58
21915,9/8/1975,0.6
21915,9/9/1975,0.59
21915,9/10/1975,0.58
21915,9/11/1975,0.55
21915,9/12/1975,0.69
21915,9/13/1975,1.19
21915,9/14/1975,0.99
21915,9/15/1975,0.78
21915,9/16/1975,0.68
21915,9/17/1975,0.66
21915,9/18/1975,0.63
21915,9/19/1975,0.59
21915,9/20/1975,0.58
21915,9/21/1975,0.57
21915,9/22/1975,0.57
21915,9/23/1975,0.62
21915,9/24/1975,0.74
21915,9/25/1975,0.68
21915,9/26/1975,0.62
21915,9/27/1975,0.65
21915,9/28/1975,0.68
21915,9/29/1975,0.66
21915,9/30/1975,0.64
21915,10/1/1975,0.68
21915,10/2/1975,0.79
21915,10/3/1975,0.9
21915,10/4/1975,0.86
21915,10/5/1975,0.83
21915,10/6/1975,0.79
21915,10/7/1975,0.76
21915,10/8/1975,0.73
21915,10/9/1975,0.71
21915,10/10/1975,0.68
21915,10/11/1975,0.66
21915,10/12/1975,0.65
21915,10/13/1975,0.64
21915,10/14/1975,0.63
21915,10/15/1975,0.64
21915,10/16/1975,0.57
21915,10/17/1975,0.57
21915,10/18/1975,0.56
21915,10/19/1975,0.56
21915,10/20/1975,0.59
21915,10/21/1975,0.7
21915,10/22/1975,0.84
21915,10/23/1975,0.81
21915,10/24/1975,0.78
21915,10/25/1975,0.74
21915,10/26/1975,0.81
21915,10/27/1975,0.92
21915,10/28/1975,0.88
